;ID;Vakantiekenmerken;Perioden;Totaal;Auto;Touringcar;Vliegtuig;Overig vervoer;Niet georganiseerd
440;440;woning particulier;2007;81;34;3;2;5;38
441;441;woning particulier;2008;99;46;0;2;0;47
442;442;woning particulier;2009;98;42;0;0;0;49
443;443;woning particulier;2010;90;38;3;6;0;44
444;444;woning particulier;2011;73;36;4;4;1;29
445;445;woning particulier;2012;130;0;0;0;0;0
446;446;woning particulier;2013;0;0;0;0;0;0
447;447;woning particulier;2014;0;0;0;0;0;0
448;448;woning particulier;2015;0;0;0;0;0;0
449;449;woning particulier;2016;0;0;0;0;0;0
450;450;Hotel;2002;1841;534;161;285;301;560
451;451;Hotel;2003;1727;522;199;243;259;504
452;452;Hotel;2004;1846;625;171;313;240;498
453;453;Hotel;2005;1804;619;209;301;227;448
454;454;Hotel;2006;1770;502;158;334;234;541
455;455;Hotel;2007;2058;683;150;346;281;597
456;456;Hotel;2008;1884;669;120;342;254;500
457;457;Hotel;2009;2228;832;148;416;291;540
458;458;Hotel;2010;2024;778;118;425;253;449
459;459;Hotel;2011;2094;992;140;437;285;241
460;460;Hotel;2012;2187;989;145;532;275;246
461;461;Hotel;2013;2180;1030;96;559;247;248
462;462;Hotel;2014;2004;963;142;457;198;244
463;463;Hotel;2015;2094;1058;106;493;231;206
464;464;Hotel;2016;2128;1087;97;573;186;185
465;465;pension;2002;111;18;0;13;7;67
466;466;pension;2003;104;24;0;20;14;47
467;467;pension;2004;84;11;0;11;0;57
468;468;pension;2005;126;22;0;14;0;87
469;469;pension;2006;121;16;0;27;0;63
470;470;pension;2007;146;21;3;29;12;82
471;471;pension;2008;128;16;0;22;0;75
472;472;pension;2009;124;20;0;6;10;82
473;473;pension;2010;121;29;5;21;6;59
474;474;pension;2011;92;24;2;13;3;49
475;475;pension;2012;186;0;0;0;0;0
476;476;pension;2013;0;0;0;0;0;0
477;477;pension;2014;0;0;0;0;0;0
478;478;pension;2015;0;0;0;0;0;0
479;479;pension;2016;0;0;0;0;0;0
480;480;appartement;2002;61;12;0;9;2;35
481;481;appartement;2003;65;27;0;3;3;32
482;482;appartement;2004;82;21;0;14;0;37
483;483;appartement;2005;72;24;0;20;0;25
484;484;appartement;2006;68;18;0;15;0;25
485;485;appartement;2007;87;21;5;22;1;37
486;486;appartement;2008;62;28;0;15;0;19
487;487;appartement;2009;100;37;0;17;7;34
488;488;appartement;2010;117;39;5;32;9;32
489;489;appartement;2011;95;30;2;40;6;16
490;490;appartement;2012;85;0;0;0;0;0
