"ID";"Vakantiekenmerken";"Perioden";"Totaal_1";"Auto_2";"TreinAutoslaaptrein_3";"Touringcar_4";"Vliegtuig_5";"OverigeVervoermiddelen_6";"GeorganiseerdeReisPerAuto_7";"GeorganiseerdeReisPerTouringcar_8";"GeorganiseerdeReisPerVliegtuig_9";"GeorganiseerdeReisMetOverigVervoer_10";"NietGeorganiseerdeReizen_11"
"205";"123";"2012JJ00";"     637";"      19";"       0";"       2";"     614";"       2";"      10";"       2";"     614";"       2";"       9"
"206";"123";"2013JJ00";"     580";"      12";"       0";"       0";"     560";"       8";"       5";"       0";"     555";"       8";"      12"
"207";"123";"2014JJ00";"     719";"      19";"       0";"       0";"     697";"       3";"      11";"       0";"     690";"       3";"      14"
"208";"123";"2015JJ00";"     691";"      18";"       0";"       7";"     657";"       9";"      13";"       7";"     647";"       9";"      16"
"209";"123";"2016JJ00";"     507";"      10";"       0";"       0";"     493";"       4";"      10";"       0";"     487";"       4";"       6"
"210";"124";"2002JJ00";"      87";"      54";"       0";"      21";"      12";"       0";"      11";"      21";"      12";"       0";"      43"
"211";"124";"2003JJ00";"      93";"      55";"       3";"      23";"       8";"       4";"      17";"      23";"       8";"       3";"      42"
"212";"124";"2004JJ00";"     125";"      71";"       8";"      28";"      14";"       3";"      15";"      28";"      14";"      11";"      56"
"213";"124";"2005JJ00";"     107";"      66";"       2";"      20";"      18";"       2";"      11";"      20";"      18";"       5";"      54"
"214";"124";"2006JJ00";"     116";"      50";"       0";"      17";"      45";"       4";"      21";"      17";"      45";"       4";"      29"
"215";"124";"2007JJ00";"     111";"      61";"       1";"       6";"      43";"       0";"      21";"       6";"      43";"       1";"      40"
