"ID";"BestemmingEnSeizoen";"Vakantiekenmerken";"Perioden";"TotaalNederlanders_1";"PercentageNederlanders_2";"Totaal_3";"GemiddeldPerNederlander_4";"GemiddeldPerDeelnemer_5";"Totaal_6";"GemiddeldPerNederlander_7";"GemiddeldPerDeelnemer_8";"GemiddeldPerVakantie_9";"Totaal_10";"GemiddeldPerNederlander_11";"GemiddeldPerDeelnemer_12";"GemiddeldPerVakantie_13";"Totaal_14";"GemiddeldPerNederlander_15";"GemiddeldPerDeelnemer_16";"GemiddeldPerPersoonPerVakantie_17";"GemiddeldPerPersoonPerVakantiedag_18"
"359";"A045879";"A046390";"2018JJ00";"    2101";"    12.4";"    2584";"     0.2";"     1.2";"    16.1";"     1.0";"     7.7";"     6.2";"    13.6";"     0.8";"     6.5";"     5.2";"     840";"      50";"     400";"     325";"      52"
"360";"A045879";"A046391";"2017JJ00";"    1637";"     9.7";"    1845";"     0.1";"     1.1";"    12.3";"     0.7";"     7.5";"     6.7";"    10.4";"     0.6";"     6.4";"     5.7";"     688";"      41";"     420";"     373";"      56"
"361";"A045879";"A046391";"2018JJ00";"    1957";"    11.5";"    2368";"     0.1";"     1.2";"    16.1";"     1.0";"     8.2";"     6.8";"    13.8";"     0.8";"     7.0";"     5.8";"     979";"      58";"     500";"     413";"      61"
"362";"A045879";"A046393";"2017JJ00";"    5266";"    31.3";"    8174";"     0.5";"     1.6";"    25.2";"     1.5";"     4.8";"     3.1";"    17.0";"     1.0";"     3.2";"     2.1";"    1488";"      88";"     283";"     182";"      59"
"363";"A045879";"A046393";"2018JJ00";"    5153";"    30.4";"    7762";"     0.5";"     1.5";"    24.1";"     1.4";"     4.7";"     3.1";"    16.3";"     1.0";"     3.2";"     2.1";"    1637";"      97";"     318";"     211";"      68"
"364";"A045879";"A046394";"2017JJ00";"    6578";"    39.1";"    9529";"     0.6";"     1.4";"   102.5";"     6.1";"    15.6";"    10.8";"    93.0";"     5.5";"    14.1";"     9.8";"    6592";"     391";"    1002";"     692";"      64"
"365";"A045879";"A046394";"2018JJ00";"    6375";"    37.6";"    9132";"     0.5";"     1.4";"    99.2";"     5.9";"    15.6";"    10.9";"    90.1";"     5.3";"    14.1";"     9.9";"    6391";"     377";"    1002";"     700";"      64"
"366";"A045879";"A046395";"2017JJ00";"    4519";"    26.8";"    5850";"     0.3";"     1.3";"    38.3";"     2.3";"     8.5";"     6.6";"    32.5";"     1.9";"     7.2";"     5.6";"    2464";"     146";"     545";"     421";"      64"
"367";"A045879";"A046395";"2018JJ00";"    4289";"    25.3";"    5521";"     0.3";"     1.3";"    36.0";"     2.1";"     8.4";"     6.5";"    30.4";"     1.8";"     7.1";"     5.5";"    2312";"     136";"     539";"     419";"      64"
"368";"A045879";"A046396";"2017JJ00";"    2076";"    12.3";"    2386";"     0.1";"     1.1";"    26.4";"     1.6";"    12.7";"    11.1";"    24.0";"     1.4";"    11.6";"    10.1";"    1960";"     116";"     944";"     821";"      74"
"369";"A045879";"A046396";"2018JJ00";"    1996";"    11.8";"    2317";"     0.1";"     1.2";"    25.8";"     1.5";"    12.9";"    11.1";"    23.5";"     1.4";"    11.8";"    10.1";"    1873";"     111";"     938";"     809";"      73"
"370";"A045879";"A046397";"2017JJ00";"    1149";"     6.8";"    1293";"     0.1";"     1.1";"    37.7";"     2.2";"    32.8";"    29.2";"    36.4";"     2.2";"    31.7";"    28.2";"    2169";"     129";"    1888";"    1678";"      58"
"371";"A045879";"A046397";"2018JJ00";"    1155";"     6.8";"    1295";"     0.1";"     1.1";"    37.5";"     2.2";"    32.4";"    28.9";"    36.2";"     2.1";"    31.3";"    27.9";"    2205";"     130";"    1910";"    1703";"      59"
"372";"A045879";"A047150";"2017JJ00";"    6924";"    41.1";"   11389";"     0.7";"     1.6";"    65.0";"     3.9";"     9.4";"     5.7";"    53.6";"     3.2";"     7.7";"     4.7";"    2689";"     160";"     388";"     236";"      41"
"373";"A045879";"A047150";"2018JJ00";"    6665";"    39.3";"   10838";"     0.6";"     1.6";"    62.2";"     3.7";"     9.3";"     5.7";"    51.4";"     3.0";"     7.7";"     4.7";"    2718";"     160";"     408";"     251";"      44"
"374";"A045879";"A047151";"2017JJ00";"    3504";"    20.8";"    4566";"     0.3";"     1.3";"    53.0";"     3.1";"    15.1";"    11.6";"    48.5";"     2.9";"    13.8";"    10.6";"    4882";"     290";"    1393";"    1069";"      92"
"375";"A045879";"A047151";"2018JJ00";"    3303";"    19.5";"    4381";"     0.3";"     1.3";"    51.6";"     3.0";"    15.6";"    11.8";"    47.2";"     2.8";"    14.3";"    10.8";"    4716";"     278";"    1428";"    1077";"      91"
"376";"A045879";"A018981";"2017JJ00";"     665";"     4.0";"     844";"     0.1";"     1.3";"     3.5";"     0.2";"     5.3";"     4.2";"     2.7";"     0.2";"     4.0";"     3.2";"     218";"      13";"     328";"     259";"      62"
"377";"A045879";"A018981";"2018JJ00";"     648";"     3.8";"     825";"     0.0";"     1.3";"     3.6";"     0.2";"     5.6";"     4.4";"     2.8";"     0.2";"     4.3";"     3.4";"     270";"      16";"     416";"     327";"      74"
"378";"A045879";"A047152";"2017JJ00";"     718";"     4.3";"     905";"     0.1";"     1.3";"     6.1";"     0.4";"     8.5";"     6.8";"     5.2";"     0.3";"     7.3";"     5.8";"     291";"      17";"     405";"     322";"      47"
"379";"A045879";"A047152";"2018JJ00";"     656";"     3.9";"     851";"     0.1";"     1.3";"     5.9";"     0.3";"     9.0";"     6.9";"     5.0";"     0.3";"     7.7";"     5.9";"     324";"      19";"     494";"     381";"      55"
